SEAS,YR,TOTAL,ANOM,fecha,oni,fase_enso
JFM,2013,26.44,-0.29,2013-02-01,-0.29,Neutro
FMA,2013,26.96,-0.21,2013-03-01,-0.21,Neutro
MAM,2013,27.38,-0.19,2013-04-01,-0.19,Neutro
AMJ,2013,27.47,-0.27,2013-05-01,-0.27,Neutro
MJJ,2013,27.24,-0.34,2013-06-01,-0.34,Neutro
JJA,2013,26.89,-0.35,2013-07-01,-0.35,Neutro
JAS,2013,26.64,-0.28,2013-08-01,-0.28,Neutro
ASO,2013,26.51,-0.21,2013-09-01,-0.21,Neutro
SON,2013,26.54,-0.13,2013-10-01,-0.13,Neutro
OND,2013,26.5,-0.1,2013-11-01,-0.1,Neutro
NDJ,2013,26.35,-0.15,2013-12-01,-0.15,Neutro
DJF,2014,26.22,-0.28,2014-01-01,-0.28,Neutro
JFM,2014,26.41,-0.32,2014-02-01,-0.32,Neutro
FMA,2014,27.03,-0.14,2014-03-01,-0.14,Neutro
MAM,2014,27.73,0.15,2014-04-01,0.15,Neutro
AMJ,2014,28.04,0.31,2014-05-01,0.31,Neutro
MJJ,2014,27.82,0.23,2014-06-01,0.23,Neutro
JJA,2014,27.34,0.1,2014-07-01,0.1,Neutro
JAS,2014,27.02,0.11,2014-08-01,0.11,Neutro
ASO,2014,27.0,0.28,2014-09-01,0.28,Neutro
SON,2014,27.21,0.54,2014-10-01,0.54,Nino
OND,2014,27.31,0.71,2014-11-01,0.71,Nino
NDJ,2014,27.28,0.77,2014-12-01,0.77,Nino
DJF,2015,27.19,0.69,2015-01-01,0.69,Nino
JFM,2015,27.34,0.61,2015-02-01,0.61,Nino
FMA,2015,27.82,0.65,2015-03-01,0.65,Nino
MAM,2015,28.38,0.81,2015-04-01,0.81,Nino
AMJ,2015,28.76,1.02,2015-05-01,1.02,Nino
MJJ,2015,28.83,1.25,2015-06-01,1.25,Nino
JJA,2015,28.81,1.57,2015-07-01,1.57,Nino
JAS,2015,28.82,1.91,2015-08-01,1.91,Nino
ASO,2015,28.93,2.21,2015-09-01,2.21,Nino
SON,2015,29.14,2.47,2015-10-01,2.47,Nino
OND,2015,29.25,2.64,2015-11-01,2.64,Nino
NDJ,2015,29.26,2.75,2015-12-01,2.75,Nino
DJF,2016,29.12,2.63,2016-01-01,2.63,Nino
JFM,2016,29.01,2.28,2016-02-01,2.28,Nino
FMA,2016,28.88,1.71,2016-03-01,1.71,Nino
MAM,2016,28.62,1.05,2016-04-01,1.05,Nino
AMJ,2016,28.22,0.49,2016-05-01,0.49,Neutro
MJJ,2016,27.59,0.0,2016-06-01,0.0,Neutro
JJA,2016,26.93,-0.31,2016-07-01,-0.31,Neutro
JAS,2016,26.42,-0.5,2016-08-01,-0.5,Nina
ASO,2016,26.14,-0.58,2016-09-01,-0.58,Nina
SON,2016,26.02,-0.64,2016-10-01,-0.64,Nina
OND,2016,26.01,-0.6,2016-11-01,-0.6,Nina
NDJ,2016,26.06,-0.45,2016-12-01,-0.45,Neutro
DJF,2017,26.3,-0.19,2017-01-01,-0.19,Neutro
JFM,2017,26.71,-0.02,2017-02-01,-0.02,Neutro
FMA,2017,27.35,0.18,2017-03-01,0.18,Neutro
MAM,2017,27.89,0.31,2017-04-01,0.31,Neutro
AMJ,2017,28.13,0.4,2017-05-01,0.4,Neutro
MJJ,2017,27.97,0.39,2017-06-01,0.39,Neutro
JJA,2017,27.43,0.19,2017-07-01,0.19,Neutro
JAS,2017,26.84,-0.07,2017-08-01,-0.07,Neutro
ASO,2017,26.38,-0.34,2017-09-01,-0.34,Neutro
SON,2017,26.06,-0.6,2017-10-01,-0.6,Nina
OND,2017,25.84,-0.77,2017-11-01,-0.77,Nina
NDJ,2017,25.64,-0.86,2017-12-01,-0.86,Nina
DJF,2018,25.72,-0.77,2018-01-01,-0.77,Nina
JFM,2018,26.02,-0.71,2018-02-01,-0.71,Nina
FMA,2018,26.6,-0.57,2018-03-01,-0.57,Nina
MAM,2018,27.18,-0.39,2018-04-01,-0.39,Neutro
AMJ,2018,27.61,-0.13,2018-05-01,-0.13,Neutro
MJJ,2018,27.64,0.06,2018-06-01,0.06,Neutro
JJA,2018,27.38,0.14,2018-07-01,0.14,Neutro
JAS,2018,27.18,0.27,2018-08-01,0.27,Neutro
ASO,2018,27.25,0.53,2018-09-01,0.53,Nino
SON,2018,27.47,0.81,2018-10-01,0.81,Nino
OND,2018,27.57,0.97,2018-11-01,0.97,Nino
NDJ,2018,27.43,0.92,2018-12-01,0.92,Nino
DJF,2019,27.39,0.89,2019-01-01,0.89,Nino
JFM,2019,27.59,0.86,2019-02-01,0.86,Nino
FMA,2019,28.01,0.84,2019-03-01,0.84,Nino
MAM,2019,28.34,0.77,2019-04-01,0.77,Nino
AMJ,2019,28.37,0.64,2019-05-01,0.64,Nino
MJJ,2019,28.1,0.52,2019-06-01,0.52,Nino
JJA,2019,27.57,0.33,2019-07-01,0.33,Neutro
JAS,2019,27.1,0.19,2019-08-01,0.19,Neutro
ASO,2019,26.95,0.23,2019-09-01,0.23,Neutro
SON,2019,27.06,0.39,2019-10-01,0.39,Neutro
OND,2019,27.18,0.58,2019-11-01,0.58,Nino
NDJ,2019,27.17,0.66,2019-12-01,0.66,Nino
DJF,2020,27.14,0.64,2020-01-01,0.64,Nino
JFM,2020,27.35,0.63,2020-02-01,0.63,Nino
FMA,2020,27.7,0.53,2020-03-01,0.53,Nino
MAM,2020,27.87,0.3,2020-04-01,0.3,Neutro
AMJ,2020,27.75,0.01,2020-05-01,0.01,Neutro
MJJ,2020,27.35,-0.23,2020-06-01,-0.23,Neutro
JJA,2020,26.88,-0.36,2020-07-01,-0.36,Neutro
JAS,2020,26.38,-0.53,2020-08-01,-0.53,Nina
ASO,2020,25.87,-0.85,2020-09-01,-0.85,Nina
SON,2020,25.54,-1.12,2020-10-01,-1.12,Nina
OND,2020,25.4,-1.2,2020-11-01,-1.2,Nina
NDJ,2020,25.43,-1.08,2020-12-01,-1.08,Nina
DJF,2021,25.59,-0.91,2021-01-01,-0.91,Nina
JFM,2021,25.94,-0.79,2021-02-01,-0.79,Nina
FMA,2021,26.46,-0.71,2021-03-01,-0.71,Nina
MAM,2021,27.03,-0.55,2021-04-01,-0.55,Nina
AMJ,2021,27.35,-0.39,2021-05-01,-0.39,Neutro
MJJ,2021,27.28,-0.3,2021-06-01,-0.3,Neutro
JJA,2021,26.89,-0.35,2021-07-01,-0.35,Neutro
JAS,2021,26.46,-0.45,2021-08-01,-0.45,Neutro
ASO,2021,26.09,-0.63,2021-09-01,-0.63,Nina
SON,2021,25.9,-0.76,2021-10-01,-0.76,Nina
OND,2021,25.69,-0.91,2021-11-01,-0.91,Nina
NDJ,2021,25.63,-0.87,2021-12-01,-0.87,Nina
DJF,2022,25.67,-0.82,2022-01-01,-0.82,Nina
JFM,2022,25.94,-0.79,2022-02-01,-0.79,Nina
FMA,2022,26.31,-0.86,2022-03-01,-0.86,Nina
MAM,2022,26.62,-0.95,2022-04-01,-0.95,Nina
AMJ,2022,26.84,-0.9,2022-05-01,-0.9,Nina
MJJ,2022,26.8,-0.78,2022-06-01,-0.78,Nina
JJA,2022,26.48,-0.76,2022-07-01,-0.76,Nina
JAS,2022,26.04,-0.87,2022-08-01,-0.87,Nina
ASO,2022,25.75,-0.97,2022-09-01,-0.97,Nina
SON,2022,25.72,-0.94,2022-10-01,-0.94,Nina
OND,2022,25.76,-0.85,2022-11-01,-0.85,Nina
NDJ,2022,25.79,-0.71,2022-12-01,-0.71,Nina
DJF,2023,25.96,-0.54,2023-01-01,-0.54,Nina
JFM,2023,26.44,-0.29,2023-02-01,-0.29,Neutro
FMA,2023,27.15,-0.02,2023-03-01,-0.02,Neutro
MAM,2023,27.85,0.27,2023-04-01,0.27,Neutro
AMJ,2023,28.31,0.57,2023-05-01,0.57,Nino
MJJ,2023,28.42,0.84,2023-06-01,0.84,Nino
JJA,2023,28.36,1.12,2023-07-01,1.12,Nino
JAS,2023,28.28,1.37,2023-08-01,1.37,Nino
ASO,2023,28.32,1.6,2023-09-01,1.6,Nino
SON,2023,28.49,1.83,2023-10-01,1.83,Nino
OND,2023,28.6,1.99,2023-11-01,1.99,Nino
NDJ,2023,28.57,2.06,2023-12-01,2.06,Nino
DJF,2024,28.42,1.92,2024-01-01,1.92,Nino
JFM,2024,28.35,1.62,2024-02-01,1.62,Nino
FMA,2024,28.43,1.26,2024-03-01,1.26,Nino
MAM,2024,28.39,0.82,2024-04-01,0.82,Nino
AMJ,2024,28.22,0.49,2024-05-01,0.49,Neutro
MJJ,2024,27.8,0.22,2024-06-01,0.22,Neutro
JJA,2024,27.33,0.08,2024-07-01,0.08,Neutro
JAS,2024,26.85,-0.07,2024-08-01,-0.07,Neutro
ASO,2024,26.55,-0.17,2024-09-01,-0.17,Neutro
SON,2024,26.46,-0.21,2024-10-01,-0.21,Neutro
OND,2024,26.3,-0.3,2024-11-01,-0.3,Neutro
NDJ,2024,26.09,-0.42,2024-12-01,-0.42,Neutro
DJF,2025,26.05,-0.45,2025-01-01,-0.45,Neutro
JFM,2025,26.48,-0.24,2025-02-01,-0.24,Neutro
FMA,2025,27.11,-0.06,2025-03-01,-0.06,Neutro
MAM,2025,27.6,0.02,2025-04-01,0.02,Neutro
AMJ,2025,27.72,-0.02,2025-05-01,-0.02,Neutro
MJJ,2025,27.54,-0.04,2025-06-01,-0.04,Neutro
JJA,2025,27.1,-0.14,2025-07-01,-0.14,Neutro
JAS,2025,26.63,-0.28,2025-08-01,-0.28,Neutro
ASO,2025,26.32,-0.4,2025-09-01,-0.4,Neutro
SON,2025,26.16,-0.51,2025-10-01,-0.51,Nina
OND,2025,26.05,-0.55,2025-11-01,-0.55,Nina
NDJ,2025,25.97,-0.54,2025-12-01,-0.54,Nina
DJF,2026,26.13,-0.37,2026-01-01,-0.37,Neutro
JFM,2026,26.58,-0.15,2026-02-01,-0.15,Neutro
FMA,2026,27.28,0.11,2026-03-01,0.11,Neutro
