codigo_dane,municipio,departamento,mes,temperature_2m_mean,temperature_2m_min,temperature_2m_max,precipitation_sum,et0_fao_evapotranspiration,wind_speed_10m_max,shortwave_radiation_sum
05001,Medellin,Antioquia,1994-01-01,19.95483870967742,14.5,26.4,174.7,102.54,4.112903225806452,519.2
05001,Medellin,Antioquia,1994-02-01,19.678571428571427,14.9,26.3,269.1,90.92,3.875,458.37
05001,Medellin,Antioquia,1994-03-01,19.94193548387097,15.3,27.3,319.8,106.59,4.212903225806452,533.63
05001,Medellin,Antioquia,1994-04-01,20.123333333333335,15.5,27.4,434.3,98.38,4.316666666666666,489.41
05001,Medellin,Antioquia,1994-05-01,20.093548387096774,15.6,28.0,386.4,101.42,4.925806451612903,508.53
05001,Medellin,Antioquia,1994-06-01,19.916666666666668,14.8,27.5,228.1,118.0,5.973333333333333,602.73
05001,Medellin,Antioquia,1994-07-01,20.0258064516129,14.0,27.5,140.2,133.32,6.780645161290322,678.83
05001,Medellin,Antioquia,1994-08-01,20.09032258064516,14.4,29.3,186.0,137.98,7.448387096774193,701.5
05001,Medellin,Antioquia,1994-09-01,20.493333333333332,15.3,29.5,228.8,121.71000000000001,6.83,607.01
05001,Medellin,Antioquia,1994-10-01,19.606451612903225,14.8,26.2,291.9,100.63,5.109677419354839,511.39
05001,Medellin,Antioquia,1994-11-01,19.66,14.8,26.4,376.2,90.2,4.223333333333334,456.0
05001,Medellin,Antioquia,1994-12-01,20.348387096774193,15.4,27.3,140.2,100.07000000000001,4.493548387096775,503.98
05001,Medellin,Antioquia,1995-01-01,20.59032258064516,14.5,28.4,60.300000000000004,125.56,5.412903225806452,631.76
05001,Medellin,Antioquia,1995-02-01,21.142857142857142,14.4,30.4,103.1,117.29,6.121428571428572,573.56
05001,Medellin,Antioquia,1995-03-01,20.74516129032258,15.5,28.3,244.8,118.24,5.464516129032258,587.01
05001,Medellin,Antioquia,1995-04-01,20.773333333333333,15.6,28.0,378.3,102.32,4.383333333333334,504.11
05001,Medellin,Antioquia,1995-05-01,20.35483870967742,15.5,27.2,338.8,112.88,4.619354838709677,567.7
05001,Medellin,Antioquia,1995-06-01,20.323333333333334,14.4,27.5,343.7,107.87,4.913333333333333,546.08
05001,Medellin,Antioquia,1995-07-01,19.919354838709676,14.9,28.3,259.8,122.32000000000001,5.506451612903225,625.18
05001,Medellin,Antioquia,1995-08-01,20.129032258064516,14.6,28.3,336.4,120.9,5.132258064516129,612.85
05001,Medellin,Antioquia,1995-09-01,20.203333333333333,14.2,28.3,288.6,115.01,5.223333333333333,577.37
05001,Medellin,Antioquia,1995-10-01,19.548387096774192,15.4,26.7,382.4,92.15,4.558064516129033,465.73
05001,Medellin,Antioquia,1995-11-01,19.666666666666668,14.7,26.4,253.7,87.45,4.569999999999999,441.84999999999997
05001,Medellin,Antioquia,1995-12-01,19.62258064516129,14.0,26.1,280.9,94.73,4.135483870967741,483.06
05001,Medellin,Antioquia,1996-01-01,19.51290322580645,14.5,26.3,215.2,106.59,4.490322580645161,545.85
05001,Medellin,Antioquia,1996-02-01,19.7,14.2,27.4,201.3,107.19,5.048275862068966,543.08
05001,Medellin,Antioquia,1996-03-01,20.070967741935487,15.4,27.5,374.5,111.12,4.029032258064516,557.21
05001,Medellin,Antioquia,1996-04-01,20.209999999999997,15.2,27.7,342.5,106.33,4.513333333333334,529.88
05001,Medellin,Antioquia,1996-05-01,20.135483870967743,15.3,27.8,380.5,98.83,4.432258064516129,495.05
05001,Medellin,Antioquia,1996-06-01,20.08,14.6,27.5,283.2,112.11,5.166666666666667,569.62
05001,Medellin,Antioquia,1996-07-01,19.683870967741935,14.2,27.5,245.1,123.46000000000001,6.058064516129033,633.32
05001,Medellin,Antioquia,1996-08-01,19.858064516129033,13.9,28.0,238.5,128.6,6.212903225806452,655.56
05001,Medellin,Antioquia,1996-09-01,20.166666666666668,15.1,28.1,236.8,120.69,5.87,609.48
05001,Medellin,Antioquia,1996-10-01,19.851612903225806,15.2,27.0,337.2,103.59,4.82258064516129,523.5500000000001
05001,Medellin,Antioquia,1996-11-01,19.84333333333333,14.5,26.9,223.0,97.58,4.993333333333334,495.19
05001,Medellin,Antioquia,1996-12-01,19.593548387096774,14.7,27.0,185.9,101.73,4.66774193548387,519.42
05001,Medellin,Antioquia,1997-01-01,19.387096774193548,13.4,25.5,229.8,96.5,3.8129032258064517,490.58
05001,Medellin,Antioquia,1997-02-01,19.942857142857143,13.1,28.5,159.0,101.89,5.371428571428572,511.59
05001,Medellin,Antioquia,1997-03-01,20.541935483870965,14.6,29.1,182.0,115.39999999999999,5.22258064516129,570.11
05001,Medellin,Antioquia,1997-04-01,20.293333333333333,15.3,27.3,274.0,108.0,4.566666666666666,536.71
05001,Medellin,Antioquia,1997-05-01,20.483870967741936,14.9,28.4,222.0,121.24,5.34516129032258,607.51
05001,Medellin,Antioquia,1997-06-01,20.16,15.3,28.3,232.5,110.74,5.1933333333333325,560.98
05001,Medellin,Antioquia,1997-07-01,21.067741935483873,13.7,29.7,34.3,139.6,8.725806451612904,684.53
05001,Medellin,Antioquia,1997-08-01,21.883870967741935,14.4,30.6,38.2,151.67,8.529032258064515,727.8
