fecha,precio_interno_cop_125kg,precio_diario_prom_cop,precio_diario_min_cop,precio_diario_max_cop,precio_exdock_cusd_libra,precio_oic_compuesto_cusd_libra,produccion_miles_sacos_60kg,exportaciones_volumen_miles_sacos,exportaciones_valor_musd
2018-01-01,763903.2258064516,762000.0,742000.0,810000.0,143.4809677419355,115.60045454545455,1131.0,1053.0,222.0149
2018-02-01,745031.25,745031.25,728375.0,772500.0,142.35107142857146,114.19000000000003,1212.0,1098.0,219.84913
2018-03-01,729854.8387096775,729758.0645161291,705000.0,760000.0,139.79032258064518,112.9904761904762,1037.0,1035.837,241.495
2018-04-01,715325.0,715325.0,690000.0,750000.0,138.9966666666667,112.56333333333333,874.0,924.926,230.7505
2018-05-01,754209.6774193548,754209.6774193548,725000.0,784000.0,140.50354838709677,113.33782608695653,1188.0,950.765,189.0672909
2018-06-01,746400.0,746400.0,728000.0,772000.0,139.17233333333334,110.43571428571431,1087.0,915.101,180.077141
2018-07-01,717838.7096774194,717838.7096774194,700500.0,740000.0,134.84709677419357,107.20533333333333,1051.0,1075.909,213.5226
2018-08-01,705064.5161290322,705064.5161290322,673000.0,723000.0,130.99322580645162,102.7237931034483,1258.0,1024.859,205.232311
2018-09-01,686933.3333333334,686933.3333333334,653000.0,724000.0,126.52533333333336,98.17299999999997,1050.0,1098.406,214.04337
2018-10-01,796774.1935483871,796774.1935483871,690000.0,855000.0,138.80451612903224,111.00590909090907,1086.0,1057.659,205.33349
2018-11-01,804283.3333333334,804306.4516129033,762000.0,852000.0,140.75033333333337,109.59000000000002,1300.0,1233.452,240.85451
2018-12-01,727645.1612903225,727645.1612903225,700500.0,762000.0,129.62290322580648,100.61149999999998,1283.0,1282.996,252.39673
2019-01-01,727274.1935483871,727274.1935483871,705000.0,750000.0,128.67580645161289,101.55636363636364,1296.0,1166.335,226.9048709299999
2019-02-01,708089.2857142857,708089.2857142857,670000.0,740000.0,128.96964285714284,100.67000000000003,1106.0,1245.588,253.2847778999999
2019-03-01,690580.6451612903,690580.6451612903,674000.0,703000.0,125.46709677419354,97.49904761904762,914.0,1140.585,221.95382937000005
2019-04-01,680566.6666666666,680566.6666666666,655000.0,704000.0,124.07266666666669,94.42299999999997,1031.0,872.342,166.83117485000002
2019-05-01,724064.5161290322,724064.5161290322,688000.0,835000.0,123.13483870967741,93.32608695652173,1115.0,1028.036,189.92028895000027
2019-06-01,779916.6666666666,779916.6666666666,740000.0,835000.0,132.76999999999998,99.9695,1211.0,1110.195,202.20442636000007
2019-07-01,796483.8709677419,796483.8709677419,762000.0,840000.0,138.41451612903225,103.00826086956522,1317.0,1121.937,211.68189927
2019-08-01,798935.4838709678,798935.4838709678,778000.0,815000.0,129.89419354838708,96.06681818181818,1119.0,1214.031,232.61787761
2019-09-01,815450.0,815450.0,778000.0,852000.0,131.355,97.73952380952382,1088.0,1008.672,193.01737154
2019-10-01,819580.6451612903,819580.6451612903,792000.0,858000.0,131.878260869565,97.34521739130435,1369.0,1211.405,226.973319
2019-11-01,909600.0,909600.0,850000.0,985000.0,143.5175,107.23333333333333,1506.0,1162.209,217.765918
2019-12-01,999129.0322580645,999129.0322580645,950000.0,1055000.0,160.1652380952381,117.37428571428572,1680.0,1386.297,264.009415
2020-01-01,886161.2903225806,886161.2903225806,830000.0,975000.0,150.79619047619047,106.88545454545455,1050.0,1064.879,212.663065
2020-02-01,909103.448275862,909103.448275862,813000.0,1014000.0,144.128947368421,101.99699999999999,1001.0,1078.06,234.412508
2020-03-01,1143193.5483870967,1143193.5483870967,995000.0,1315000.0,157.30500000000004,109.04909090909092,806.0,947.844,194.727
2020-04-01,1175566.6666666667,1175566.6666666667,1090000.0,1223000.0,164.62190476190477,108.91318181818183,744.0,642.031,163.721
2020-05-01,1068870.9677419355,1068870.9677419355,962000.0,1139000.0,155.81799999999998,104.43714285714287,1186.0,893.575,183.091
2020-06-01,962800.0,962800.0,939000.0,1006000.0,149.23772727272728,99.08913043478262,1362.0,1111.473,227.897
2020-07-01,1001451.6129032258,1001451.6129032258,942000.0,1140000.0,151.29000000000002,103.66260869565218,1310.0,1131.186,237.775008
2020-08-01,1143967.7419354839,1143967.7419354839,1082000.0,1200000.0,167.6309523809524,114.77714285714286,1091.0,1131.0,232.51
2020-09-01,1142233.3333333333,1142666.6666666667,1070000.0,1225000.0,169.84,116.25227272727275,995.0,887.494,189.117923250001
2020-10-01,1052483.8709677418,1052483.8709677418,1010000.0,1082000.0,156.75363636363633,105.8509090909091,1159.0,1051.833,218.85758802
2020-11-01,1044700.0,1044700.0,996000.0,1105000.0,161.6,109.60428571428572,1443.0,1278.603,274.09260916
2020-12-01,1047677.4193548387,1047677.4193548387,1010000.0,1086000.0,169.99,114.73545454545456,1743.0,1309.0,285.73358587
2021-01-01,1073193.5483870967,1073193.5483870967,1020000.0,1115000.0,175.23947368421054,115.72649999999999,1081.0,1072.0,235.741313050001
2021-02-01,1113535.7142857143,1118285.7142857143,1053000.0,1225000.0,177.27789473684211,119.351,1107.0,1273.64,283.47345337
2021-03-01,1156032.2580645161,1156032.2580645161,1132000.0,1195000.0,179.1478260869565,120.35565217391306,1050.0,1128.007,252.61518186
