iter	RMSE
0	134.8699808
1	130.6016849
2	126.735603
3	123.0212328
4	119.4978179
5	116.2034832
6	113.0767243
7	110.0552473
8	107.3255748
9	104.6625288
10	102.1567545
11	99.88372153
12	97.71194913
13	95.62596703
14	93.63347707
15	91.84550266
16	90.18122221
17	88.56701297
18	86.98633732
19	85.54835286
20	84.23033222
21	83.07163942
22	81.84730502
23	80.6672801
24	79.59974052
25	78.58436607
26	77.6827516
27	76.77952099
28	75.9139616
29	75.16061531
30	74.40592074
31	73.69969186
32	72.97779575
33	72.37058119
34	71.80244239
35	71.2072628
36	70.6603359
37	70.12492561
38	69.65384003
39	69.19950871
40	68.76702877
41	68.38224164
42	67.98180402
43	67.62727714
44	67.2867182
45	66.96199778
46	66.64832369
47	66.347573
48	66.0698483
49	65.81067465
50	65.57128539
51	65.35329844
52	65.15453028
53	64.94641569
54	64.75589214
55	64.58017597
56	64.42281651
57	64.25881668
58	64.11255284
59	63.94976968
60	63.80134741
61	63.6718678
62	63.53936224
63	63.40684583
64	63.28738489
65	63.15263155
66	63.04025172
67	62.92267787
68	62.81779666
69	62.72080365
70	62.62290395
71	62.53761125
72	62.45809831
73	62.37529378
74	62.29002015
75	62.2113766
76	62.14854916
77	62.07881388
78	62.01686258
79	61.95550726
80	61.88012724
81	61.81056271
82	61.75005421
83	61.69223519
84	61.63559306
85	61.58599172
86	61.53228445
87	61.4822412
88	61.43065782
89	61.39928879
90	61.34995541
91	61.31332565
92	61.27753093
93	61.23315408
94	61.20138046
95	61.15437745
96	61.11634789
97	61.09216146
98	61.05565347
99	61.01868134
100	60.98537478
101	60.94943455
102	60.91321168
103	60.88461645
104	60.85148877
105	60.82342425
106	60.7973809
107	60.77020389
108	60.74994728
109	60.7164253
110	60.69032252
111	60.67378706
112	60.65524696
113	60.62626972
114	60.60294476
115	60.58957055
116	60.5676578
117	60.55244286
118	60.52941948
119	60.51168967
120	60.48652614
121	60.46509076
122	60.44838771
123	60.43364928
124	60.41832282
125	60.40428765
126	60.39089172
127	60.37829166
128	60.36350361
129	60.34441918
130	60.33408178
131	60.31775929
132	60.30510847
133	60.29368839
134	60.28210699
135	60.26672621
136	60.25415593
137	60.24344109
138	60.23288042
139	60.21845503
140	60.20958375
141	60.19974636
142	60.18937267
143	60.17942044
144	60.17127528
145	60.1604342
146	60.1483811
147	60.13837328
148	60.12494625
149	60.11560656
150	60.10681845
151	60.10091755
152	60.09423459
153	60.08599317
154	60.07565761
155	60.06494347
156	60.05708335
157	60.0508438
158	60.04430373
159	60.03507665
160	60.02693767
161	60.01652319
162	60.00711793
163	60.0002828
164	59.99184509
165	59.98377783
166	59.97706863
167	59.97193608
168	59.96012294
169	59.95288422
170	59.9486673
171	59.94146677
172	59.93383022
173	59.92634627
174	59.91873864
175	59.91101309
176	59.90261794
177	59.89511351
178	59.88621445
179	59.8791707
180	59.87181276
181	59.86447556
182	59.85250532
183	59.84629475
184	59.83855092
185	59.83170868
186	59.8239517
187	59.81658649
188	59.80829717
189	59.79999878
190	59.79235342
191	59.78656079
192	59.78156585
193	59.77564525
194	59.76896011
195	59.76188562
196	59.75666626
197	59.75061143
198	59.7427056
199	59.73671748
200	59.73053948
201	59.72549053
202	59.71877048
203	59.71170183
204	59.70393295
205	59.69922216
206	59.69293203
207	59.68662811
208	59.6796209
209	59.67248
210	59.66623804
211	59.66161876
212	59.65279587
213	59.64692479
214	59.6362054
215	59.62464855
216	59.61718993
217	59.61199212
218	59.60622761
219	59.6015996
220	59.59061688
221	59.58465193
222	59.57877244
223	59.5727972
224	59.56676276
225	59.56214409
226	59.55657615
227	59.54669751
228	59.54038206
229	59.53327839
230	59.52665982
231	59.52009408
232	59.5150326
233	59.50875202
234	59.50207081
235	59.49492229
236	59.48823357
237	59.48386768
238	59.47930393
239	59.4700572
240	59.46455686
241	59.45873315
242	59.45129668
243	59.44293868
244	59.43845385
245	59.43266701
246	59.42570959
247	59.41994898
248	59.41465568
249	59.40825193
250	59.40112117
251	59.39686775
252	59.39006346
253	59.38207677
254	59.37730329
255	59.36773619
256	59.36120874
257	59.35734406
258	59.35349953
259	59.34844877
260	59.341929
261	59.33653381
262	59.33180368
263	59.32516156
264	59.31888213
265	59.3127536
266	59.30573952
267	59.29977345
268	59.29518725
269	59.28815208
270	59.28235498
271	59.27727782
272	59.27090893
273	59.2665012
274	59.26293127
275	59.25701299
276	59.25156676
277	59.24817632
278	59.24092127
279	59.23439757
280	59.22696697
281	59.22065559
282	59.21528577
283	59.21079256
284	59.20448811
285	59.19827731
286	59.19348525
287	59.18810417
288	59.18268566
289	59.17658741
290	59.17029178
291	59.16562183
292	59.16032907
293	59.1545718
294	59.14842479
295	59.14079528
296	59.13674043
297	59.1317608
298	59.12599094
299	59.12278264
