fecha,arabica_usd_kg,robusta_usd_kg
1970-04-01,1.2028,0.9129121
1970-05-01,1.217,0.9400282
1970-06-01,1.2061,0.9298873
1970-07-01,1.2121,0.9424534
1970-08-01,1.1828,0.9446578
1970-09-01,1.1603,0.9387055
1970-10-01,1.1197,0.9415715
1970-11-01,1.0278,0.9159985
1970-12-01,0.9775,0.9190849
1971-01-01,1.0031,0.9298873
1971-02-01,0.9833,0.9296668
1971-03-01,1.0143,0.9406896
1971-04-01,0.9894,0.9400282
1971-05-01,1.0183,0.9400282
1971-06-01,1.0022,0.9340759
1971-07-01,0.9927,0.928344
1971-08-01,1.0051,0.9298873
1971-09-01,0.9645,0.9243758
1971-10-01,0.9431,0.9190849
1971-11-01,0.9658,0.9254781
1971-12-01,1.0207,0.9373828
1972-01-01,0.9905,0.9296668
1972-02-01,0.9996,0.930769
1972-03-01,1.0192,0.949508
1972-04-01,1.0115,0.9627353
1972-05-01,1.0377,0.9647195
1972-06-01,1.0697,0.9625149
1972-07-01,1.2361,1.043863
1972-08-01,1.2009,1.040557
1972-09-01,1.1687,1.034604
1972-10-01,1.1779,1.036809
1972-11-01,1.1859,1.044304
1972-12-01,1.2174,1.052902
1973-01-01,1.278,1.054005
1973-02-01,1.4542,1.091923
1973-03-01,1.4193,1.10978
1973-04-01,1.291,1.077593
1973-05-01,1.4151,1.074507
1973-06-01,1.4147,1.077593
1973-07-01,1.3567,1.058193
1973-08-01,1.3307,1.044966
1973-09-01,1.3272,1.104489
1973-10-01,1.3779,1.146376
1973-11-01,1.3931,1.168422
1973-12-01,1.4235,1.190467
1974-01-01,1.5304,1.226622
1974-02-01,1.6466,1.334867
1974-03-01,1.5754,1.382706
1974-04-01,1.5498,1.411586
1974-05-01,1.5657,1.422608
1974-06-01,1.5898,1.362424
1974-07-01,1.5232,1.303562
1974-08-01,1.379,1.234779
1974-09-01,1.2039,1.188704
1974-10-01,1.2518,1.21119
1974-11-01,1.3069,1.227063
1974-12-01,1.2959,1.216481
1975-01-01,1.2311,1.197522
1975-02-01,1.1788,1.154974
1975-03-01,1.1034,1.094348
1975-04-01,1.0503,1.0809
1975-05-01,1.121,1.047611
1975-06-01,1.233,1.087734
1975-07-01,1.4478,1.293641
1975-08-01,1.8404,1.69862
1975-09-01,1.7831,1.677677
1975-10-01,1.7723,1.610879
1975-11-01,1.709,1.574283
1975-12-01,1.8353,1.632043
1976-01-01,2.047,1.744476
1976-02-01,2.1874,1.822297
1976-03-01,2.1958,1.815904
1976-04-01,2.7002,2.376305
1976-05-01,2.9864,2.681638
1976-06-01,3.2977,2.867263
1976-07-01,3.0256,2.78415
1976-08-01,3.3848,2.915763
1976-09-01,3.5133,3.022024
1976-10-01,3.8215,3.34874
1976-11-01,4.0342,3.885773
1976-12-01,4.566,4.496439
1977-01-01,4.8272,4.767601
1977-02-01,5.4119,5.431397
1977-03-01,6.7058,6.747966
1977-04-01,7.0036,6.883547
1977-05-01,6.2889,5.942636
1977-06-01,5.7781,4.938676
1977-07-01,4.8488,4.331758
1977-08-01,4.396,4.482551
1977-09-01,4.1778,4.442207
1977-10-01,3.7703,3.834407
1977-11-01,4.3466,3.675237
1977-12-01,4.4714,3.716242
1978-01-01,4.545,3.904953
1978-02-01,4.3561,3.848296
1978-03-01,3.8576,3.475283
1978-04-01,3.9368,3.192216
1978-05-01,3.7397,3.000198
1978-06-01,3.7148,3.331985
1978-07-01,2.9498,2.789726
1978-08-01,3.0472,2.831835
1978-09-01,3.4244,3.238587
1978-10-01,3.3964,3.309576
1978-11-01,3.2223,3.180385
1978-12-01,2.8898,2.911862
1979-01-01,2.8349,2.9377
1979-02-01,2.7119,2.9211
1979-03-01,2.8735,2.9809
1979-04-01,3.0563,3.1262
1979-05-01,3.3023,3.2558
1979-06-01,4.2589,4.1621
1979-07-01,4.4899,4.3241
1979-08-01,4.353,4.0111
1979-09-01,4.5717,4.2293
1979-10-01,4.6207,4.064
1979-11-01,4.5574,3.909
1979-12-01,4.2831,3.902
1980-01-01,3.8078,3.5713
1980-02-01,3.7102,3.5521
1980-03-01,4.1173,3.7225
1980-04-01,4.0528,3.6464
1980-05-01,4.2315,3.8848
1980-06-01,4.0503,3.7613
1980-07-01,3.5164,3.2809
1980-08-01,3.1001,2.9496
1980-09-01,2.8559,2.7567
1980-10-01,2.8373,2.7242
1980-11-01,2.5986,2.5183
1980-12-01,2.7172,2.5505
1981-01-01,2.8894,2.6283
1981-02-01,2.8517,2.4886
1981-03-01,2.8574,2.4723
1981-04-01,2.8887,2.4507
1981-05-01,2.8329,2.3477
1981-06-01,2.5104,1.8583
1981-07-01,2.6691,1.9357
1981-08-01,2.782,1.9786
1981-09-01,2.8038,1.9703
1981-10-01,3.0225,2.1656
1981-11-01,3.1804,2.3135
1981-12-01,3.1343,2.273
1982-01-01,3.1786,2.3076
1982-02-01,3.4046,2.5168
1982-03-01,3.2196,2.4685
1982-04-01,3.1224,2.3455
1982-05-01,3.0333,2.2822
1982-06-01,3.1004,2.2408
1982-07-01,2.9434,2.1678
1982-08-01,2.9308,2.2478
1982-09-01,3.0042,2.4092
1982-10-01,3.0955,2.5856
1982-11-01,3.045,2.6943
1982-12-01,2.9729,2.8177
1983-01-01,2.8651,2.745
1983-02-01,2.7983,2.6846
1983-03-01,2.7567,2.6727
1983-04-01,2.7505,2.6727
1983-05-01,2.8323,2.7152
1983-06-01,2.8071,2.6511
1983-07-01,2.8294,2.6469
1983-08-01,2.8559,2.6526
1983-09-01,2.9169,2.6877
1983-10-01,3.1026,2.8726
1983-11-01,3.187,2.8515
1983-12-01,3.2333,2.9271
1984-01-01,3.1683,2.9306
1984-02-01,3.2168,3.0049
1984-03-01,3.2699,3.0433
1984-04-01,3.3116,3.0325
1984-05-01,3.3124,3.2293
1984-06-01,3.2474,3.165
1984-07-01,3.1771,3.0402
1984-08-01,3.2121,3.099
1984-09-01,3.1356,3.1189
1984-10-01,3.0175,2.9787
1984-11-01,3.0911,2.9998
1984-12-01,3.1041,2.7992
1985-01-01,3.2053,2.7675
1985-02-01,3.1764,2.7011
1985-03-01,3.2602,2.7079
1985-04-01,3.1189,2.702
1985-05-01,3.1458,2.6685
1985-06-01,3.1281,2.6497
1985-07-01,2.9778,2.3433
1985-08-01,2.9427,2.3466
1985-09-01,2.9427,2.2941
1985-10-01,3.0979,2.4544
1985-11-01,3.4315,2.7816
1985-12-01,4.3422,3.3669
1986-01-01,5.2441,3.7516
1986-02-01,5.0307,3.5721
1986-03-01,5.2823,3.7229
1986-04-01,4.9833,3.4703
1986-05-01,4.6592,3.1416
1986-06-01,3.9039,2.7602
1986-07-01,3.7988,2.7761
1986-08-01,3.8345,2.9751
1986-09-01,4.4011,3.6062
1986-10-01,3.9152,3.2808
1986-11-01,3.4545,3.1337
1986-12-01,3.0034,2.7465
1987-01-01,2.7234,2.4996
1987-02-01,2.6645,2.4269
1987-03-01,2.2877,2.157
1987-04-01,2.3712,2.229
1987-05-01,2.586,2.3281
1987-06-01,2.3176,2.1615
1987-07-01,2.2023,2.0388
1987-08-01,2.2531,2.0845
1987-09-01,2.4365,2.1898
1987-10-01,2.6319,2.2822
1987-11-01,2.7884,2.3111
1987-12-01,2.7972,2.2716
1988-01-01,2.8223,2.2511
1988-02-01,3.0544,2.2702
1988-03-01,3.0104,2.1817
1988-04-01,3.0075,2.1204
1988-05-01,3.0567,2.0737
1988-06-01,3.1718,2.0608
1988-07-01,3.1299,1.881
1988-08-01,2.9228,1.8001
1988-09-01,3.0391,1.9789
1988-10-01,2.9502,2.0744
1988-11-01,2.9848,2.0428
1988-12-01,3.2546,2.2151
1989-01-01,3.3563,2.2342
1989-02-01,3.0854,2.1191
1989-03-01,3.0966,2.081
1989-04-01,3.172,2.011
1989-05-01,3.0993,2.0133
1989-06-01,2.7628,1.8464
1989-07-01,1.942,1.4383
1989-08-01,1.7308,1.314
1989-09-01,1.7289,1.3234
1989-10-01,1.5135,1.1806
1989-11-01,1.5624,1.1744
1989-12-01,1.5977,1.1317
1990-01-01,1.6761,1.0907
1990-02-01,1.8508,1.1036
1990-03-01,2.0885,1.2292
1990-04-01,2.088,1.2335
1990-05-01,2.0496,1.1821
1990-06-01,1.9654,1.1171
1990-07-01,1.9103,1.1039
1990-08-01,2.0818,1.1856
1990-09-01,2.103,1.228
1990-10-01,2.019,1.2392
1990-11-01,1.8678,1.2231
1990-12-01,1.9661,1.2447
1991-01-01,1.8945,1.1647
1991-02-01,1.9667,1.1435
1991-03-01,2.0628,1.1324
1991-04-01,2.0273,1.1229
1991-05-01,1.9375,1.0375
1991-06-01,1.891,1.0005
1991-07-01,1.8351,1.0005
1991-08-01,1.8027,0.99
1991-09-01,1.9193,1.0287
1991-10-01,1.7586,1.0115
1991-11-01,1.724,1.1112
1991-12-01,1.6612,1.1197
1992-01-01,1.6184,1.0765
1992-02-01,1.5091,0.9385
1992-03-01,1.5514,0.9389
1992-04-01,1.4533,0.9118
1992-05-01,1.3417,0.8307
1992-06-01,1.3027,0.8195
1992-07-01,1.2831,0.864
1992-08-01,1.1669,0.8565
1992-09-01,1.1735,0.9034
1992-10-01,1.3574,0.9742
1992-11-01,1.4839,1.0509
1992-12-01,1.7016,1.1202
1993-01-01,1.5298,1.034
1993-02-01,1.4914,1.0361
1993-03-01,1.4026,1.0119
1993-04-01,1.2758,0.9894
1993-05-01,1.3708,1.0179
1993-06-01,1.3779,1.0267
1993-07-01,1.5831,1.0891
1993-08-01,1.6958,1.2888
1993-09-01,1.7807,1.3779
1993-10-01,1.6896,1.299
1993-11-01,1.7328,1.355
1993-12-01,1.7921,1.3627
1994-01-01,1.7405,1.3093
1994-02-01,1.8503,1.3404
1994-03-01,1.9181,1.4265
1994-04-01,1.9967,1.5833
1994-05-01,2.687,2.0933
1994-06-01,3.1621,2.4776
1994-07-01,4.8256,3.6155
1994-08-01,4.4189,3.585
1994-09-01,4.8943,4.0297
1994-10-01,4.45,3.7352
1994-11-01,4.0325,3.3803
1994-12-01,3.7157,2.8601
1995-01-01,3.8056,2.8999
1995-02-01,3.7431,2.9694
1995-03-01,3.9558,3.2194
1995-04-01,3.8449,3.1918
1995-05-01,3.7701,3.1063
1995-06-01,3.4059,2.84
1995-07-01,3.2112,2.6403
1995-08-01,3.3777,2.87
1995-09-01,2.9643,2.5364
1995-10-01,2.8058,2.4859
1995-11-01,2.7613,2.4412
1995-12-01,2.3422,2.0479
1996-01-01,2.4394,1.9839
1996-02-01,2.7357,2.1361
1996-03-01,2.6641,2.0049
1996-04-01,2.7227,1.9989
1996-05-01,2.8499,2.0106
1996-06-01,2.7659,1.8984
1996-07-01,2.7,1.7077
1996-08-01,2.7827,1.7465
1996-09-01,2.6169,1.6389
1996-10-01,2.7381,1.6076
1996-11-01,2.7353,1.5476
1996-12-01,2.5798,1.3902
1997-01-01,2.9291,1.4813
1997-02-01,3.7119,1.6623
1997-03-01,4.2924,1.7688
1997-04-01,4.5633,1.7062
1997-05-01,5.8923,2.0635
1997-06-01,4.8947,1.9564
1997-07-01,4.1978,1.756
1997-08-01,4.2064,1.6413
1997-09-01,4.1859,1.6568
1997-10-01,3.6963,1.6429
1997-11-01,3.5333,1.6764
1997-12-01,3.9119,1.821
1998-01-01,3.9198,1.8389
1998-02-01,3.9282,1.8378
1998-03-01,3.4756,1.812
1998-04-01,3.3146,1.9615
1998-05-01,3.0362,2.0005
1998-06-01,2.7542,1.8239
1998-07-01,2.5926,1.6984
1998-08-01,2.7163,1.748
1998-09-01,2.4659,1.7593
1998-10-01,2.4189,1.7703
1998-11-01,2.5655,1.7672
1998-12-01,2.588,1.8532
1999-01-01,2.4903,1.8142
1999-02-01,2.3254,1.7467
1999-03-01,2.3234,1.6186
1999-04-01,2.2511,1.5282
1999-05-01,2.4487,1.4978
1999-06-01,2.3636,1.446
1999-07-01,2.0911,1.3572
1999-08-01,2.0144,1.3905
1999-09-01,1.8587,1.3133
1999-10-01,2.0768,1.2901
1999-11-01,2.4996,1.39
1999-12-01,2.7439,1.4725
2000-01-01,2.4496,1.1724
2000-02-01,2.2805,1.0772
2000-03-01,2.2207,1.0196
2000-04-01,2.0858,0.98
2000-05-01,2.0756,0.9771
2000-06-01,1.9057,0.9409
2000-07-01,1.9257,0.8999
2000-08-01,1.6958,0.8433
2000-09-01,1.6707,0.8561
2000-10-01,1.6901,0.7967
2000-11-01,1.5772,0.7233
2000-12-01,1.4586,0.6698
2001-01-01,1.4546,0.7143
2001-02-01,1.4813,0.6962
2001-03-01,1.4661,0.6729
2001-04-01,1.4579,0.6281
2001-05-01,1.526,0.6512
2001-06-01,1.4088,0.6431
2001-07-01,1.2946,0.6047
2001-08-01,1.3166,0.5692
2001-09-01,1.2802,0.5351
2001-10-01,1.2434,0.5124
2001-11-01,1.2974,0.5221
