fecha,trm_cop_usd
2021-02-01,3608.699951171875
2021-03-01,3728.25
2021-04-01,3713.360107421875
2021-05-01,3706.25
2021-06-01,3765.75
2021-07-01,3845.85009765625
2021-08-01,3815.0
2021-09-01,3834.25
2021-10-01,3777.75
2021-11-01,4033.25
2021-12-01,4068.25
2022-01-01,3912.49755859375
2022-02-01,3853.7451171875
2022-03-01,3749.389892578125
2022-04-01,3971.550048828125
2022-05-01,3930.159912109375
2022-06-01,4107.52001953125
2022-07-01,4373.580078125
2022-08-01,4411.919921875
2022-09-01,4526.9501953125
2022-10-01,4833.259765625
2022-11-01,4809.33984375
2022-12-01,4846.919921875
2023-01-01,4600.43017578125
2023-02-01,4777.259765625
2023-03-01,4643.25
2023-04-01,4654.75
2023-05-01,4391.25
2023-06-01,4167.85009765625
2023-07-01,3926.2900390625
2023-08-01,4096.77978515625
2023-09-01,4071.25
2023-10-01,4060.0
2023-11-01,3988.85009765625
2023-12-01,3836.099609375
2024-01-01,3919.260009765625
2024-02-01,3923.18994140625
2024-03-01,3810.859619140625
2024-04-01,3907.260009765625
2024-05-01,3864.75
2024-06-01,4148.509765625
2024-07-01,4082.25
2024-08-01,4125.1298828125
2024-09-01,4179.31005859375
2024-10-01,4412.52978515625
2024-11-01,4423.25
2024-12-01,4403.169921875
2025-01-01,4160.0498046875
2025-02-01,4130.5
2025-03-01,4125.830078125
2025-04-01,4195.25
2025-05-01,4128.75
2025-06-01,4035.43994140625
2025-07-01,4186.75
2025-08-01,3978.695068359375
2025-09-01,3919.0
2025-10-01,3858.449951171875
2025-11-01,3691.856689453125
2025-12-01,3740.4599609375
2026-01-01,3652.280029296875
2026-02-01,3764.2900390625
2026-03-01,3675.239990234375
2026-04-01,3633.969970703125
2026-05-01,3728.0
